iter	RMSE
0	14.77662305
1	14.37429756
2	13.99184951
3	13.62034684
4	13.27119794
5	12.97151639
6	12.66748009
7	12.36362739
8	12.09529943
9	11.80519937
10	11.54304184
11	11.31051582
12	11.05667382
13	10.82815211
14	10.58088544
15	10.37779847
16	10.16591205
17	9.962374695
18	9.772186456
19	9.577528636
20	9.429752588
21	9.246253518
22	9.061499837
23	8.8991174
24	8.728383027
25	8.574260012
26	8.445397635
27	8.303805113
28	8.171290275
29	8.0505321
30	7.923150879
31	7.801081463
32	7.699853607
33	7.586301625
34	7.488163125
35	7.390979096
36	7.303948884
37	7.215999341
38	7.129153268
39	7.050818023
40	6.964523725
41	6.891625629
42	6.805436525
43	6.740402243
44	6.671415143
45	6.612235937
46	6.549122327
47	6.490867614
48	6.434592814
49	6.378583917
50	6.32629626
51	6.279369623
52	6.226763162
53	6.180406814
54	6.133816428
55	6.091403315
56	6.053392202
57	6.02096886
58	5.988336518
59	5.956952748
60	5.925962705
61	5.890989286
62	5.857963082
63	5.826585324
64	5.799327344
65	5.77226142
66	5.748717438
67	5.724393444
68	5.700734547
69	5.679803489
70	5.654915949
71	5.632547884
72	5.61025329
73	5.588442132
74	5.569637169
75	5.547358013
76	5.530294311
77	5.511026963
78	5.493389396
79	5.477394996
80	5.463111586
81	5.450133476
82	5.434169226
83	5.418229539
84	5.402146063
85	5.382568008
86	5.370744299
87	5.359016859
88	5.346592001
89	5.331337041
90	5.319905568
91	5.310612148
92	5.294761102
93	5.282605399
94	5.273177367
95	5.264746562
96	5.254999546
97	5.247444118
98	5.236356981
99	5.228823177
100	5.218723152
101	5.210688798
102	5.199680678
103	5.191280886
104	5.183711358
105	5.173301195
106	5.164787674
107	5.156584544
108	5.14622385
109	5.136643042
110	5.127752658
111	5.120051985
112	5.113759406
113	5.104490676
114	5.097953722
115	5.090974973
116	5.086361615
117	5.080387114
118	5.073416078
119	5.069519113
120	5.067355412
121	5.060089923
122	5.054310051
123	5.048703494
124	5.044195408
125	5.037339462
126	5.032517062
127	5.026286052
128	5.02379086
129	5.019979879
130	5.015021932
131	5.0118386
132	5.006415268
133	5.003694639
134	4.996227255
135	4.988156724
136	4.981012677
137	4.976020236
138	4.971712157
139	4.968538459
140	4.963801385
141	4.957904921
142	4.951950135
143	4.947113787
144	4.942477551
145	4.937062866
146	4.933643232
147	4.927512769
148	4.92328905
149	4.921323658
150	4.917492725
151	4.913211175
152	4.908514753
153	4.903761615
154	4.897953665
155	4.895025959
156	4.889314992
157	4.885409187
158	4.881297145
159	4.876144937
160	4.872989722
161	4.869999758
162	4.865129658
163	4.862310694
164	4.857905262
165	4.853501284
166	4.847314737
167	4.842362668
168	4.838212096
169	4.83546203
170	4.829777503
171	4.826146472
172	4.822780833
173	4.816136403
174	4.814512972
175	4.810244876
176	4.806536807
177	4.802326757
178	4.799219206
179	4.791320071
180	4.788813277
181	4.784167945
182	4.781295799
183	4.777263869
184	4.774255107
185	4.770243617
186	4.764473763
187	4.759204319
188	4.756013904
189	4.750933889
190	4.746658568
191	4.746285953
192	4.738765692
193	4.736756083
194	4.731930872
195	4.72894377
196	4.725985415
197	4.722671982
198	4.717326304
199	4.712978028
200	4.709847779
201	4.70692323
202	4.704206649
203	4.697803648
204	4.69482544
205	4.688452002
206	4.684516755
207	4.678712424
208	4.672047997
209	4.669916949
210	4.665498767
211	4.663723342
212	4.659057376
213	4.65464284
214	4.650881721
215	4.647450015
216	4.643443039
217	4.63992312
218	4.63850204
219	4.63418904
220	4.629101748
221	4.626403424
222	4.624617383
223	4.621164021
224	4.619056995
225	4.616773861
226	4.613888453
227	4.610096548
228	4.606567478
229	4.603342083
230	4.601281431
231	4.596055657
232	4.588117616
233	4.582590038
234	4.58019539
235	4.577666581
236	4.572388909
237	4.570730864
238	4.566185299
239	4.563733773
240	4.558497667
241	4.551836477
242	4.547739241
243	4.542896701
244	4.541456758
245	4.537689551
246	4.530418617
247	4.525390654
248	4.521722396
249	4.519922519
250	4.51741006
251	4.515422612
252	4.512042508
253	4.510695074
254	4.508507208
255	4.50599682
256	4.50252552
257	4.498269086
258	4.49114244
259	4.489001711
260	4.487244007
261	4.480706358
262	4.477938124
263	4.472356458
264	4.469973268
265	4.462773985
266	4.458624584
267	4.456253979
268	4.453565679
269	4.452430156
270	4.447093736
271	4.445465265
272	4.443534764
273	4.438047402
274	4.433463964
275	4.431892963
276	4.425960686
277	4.425294866
278	4.422205706
279	4.421665599
280	4.421028195
281	4.412630243
282	4.406072118
283	4.404101683
284	4.399310388
285	4.396790462
