iter	Passed	Remaining
0	169	169335
1	172	85843
2	174	57991
3	177	44300
4	183	36464
5	185	30785
6	188	26733
7	193	24052
8	197	21790
9	200	19854
10	203	18274
11	210	17296
12	212	16166
13	215	15143
14	217	14254
15	219	13494
16	223	12951
17	226	12367
18	229	11834
19	231	11351
20	234	10913
21	240	10690
22	242	10313
23	245	9988
24	247	9660
25	249	9344
26	251	9062
27	252	8782
28	254	8520
29	256	8280
30	257	8051
31	259	7846
32	261	7653
33	262	7465
34	265	7309
35	266	7145
36	268	6986
37	269	6833
38	271	6690
39	273	6552
40	274	6426
41	276	6303
42	278	6187
43	284	6181
44	286	6071
45	287	5968
46	289	5864
47	290	5768
48	292	5679
49	296	5625
50	297	5536
51	299	5452
52	300	5370
53	302	5294
54	303	5216
55	305	5145
56	306	5074
57	308	5008
58	312	4978
59	313	4914
60	315	4850
61	316	4795
62	318	4736
63	319	4677
64	321	4621
65	322	4568
66	325	4535
67	327	4483
68	328	4434
69	330	4386
70	331	4338
71	333	4299
72	335	4254
73	344	4309
74	345	4264
75	347	4224
76	349	4185
77	350	4148
78	352	4108
79	353	4069
80	360	4095
81	362	4059
82	364	4025
83	365	3987
84	367	3951
85	368	3917
86	377	3964
87	379	3931
88	380	3898
89	382	3869
90	384	3840
91	392	3876
92	395	3861
93	398	3843
94	409	3896
95	410	3867
96	412	3842
97	414	3817
98	421	3836
99	423	3809
100	425	3786
101	426	3758
102	428	3731
103	430	3711
104	438	3741
105	440	3715
106	441	3688
107	443	3666
108	445	3645
109	448	3629
110	454	3636
111	455	3615
112	458	3596
113	460	3579
114	468	3605
115	470	3585
116	472	3566
117	474	3544
118	475	3523
119	484	3551
120	485	3525
121	486	3504
122	489	3486
123	490	3465
124	491	3443
125	497	3450
126	501	3449
127	503	3428
128	505	3410
129	508	3404
130	511	3391
131	514	3382
132	515	3362
133	517	3347
134	525	3368
135	527	3349
136	529	3335
137	532	3323
138	533	3306
139	538	3310
140	541	3299
141	543	3285
142	545	3267
143	546	3249
144	547	3230
145	557	3260
146	559	3245
147	561	3231
148	563	3219
149	566	3211
150	571	3213
151	573	3199
152	575	3183
153	576	3168
154	578	3152
155	579	3137
156	590	3168
157	591	3153
158	593	3139
159	595	3125
160	603	3145
161	605	3130
162	606	3115
163	608	3100
164	609	3084
165	619	3110
166	621	3099
167	623	3086
168	625	3073
169	626	3059
170	634	3077
171	636	3065
172	638	3052
173	640	3038
174	652	3077
175	654	3063
176	656	3050
177	664	3070
178	666	3055
179	667	3042
180	669	3027
181	671	3016
182	672	3002
183	679	3011
184	681	3000
185	682	2987
186	684	2975
187	686	2962
188	687	2949
189	699	2982
190	701	2970
191	702	2955
192	713	2983
193	716	2977
194	718	2965
195	722	2961
196	724	2953
197	727	2947
198	729	2935
199	731	2924
200	732	2912
201	734	2900
202	739	2902
203	745	2907
204	746	2895
205	748	2883
206	750	2876
207	755	2874
208	756	2863
209	758	2852
210	760	2843
211	762	2833
212	764	2825
213	770	2830
214	772	2821
215	774	2812
216	777	2803
217	782	2807
218	785	2801
219	787	2791
220	788	2781
221	790	2771
222	792	2762
223	795	2754
224	799	2753
225	801	2745
226	803	2736
227	805	2728
228	807	2718
229	809	2710
230	813	2708
231	815	2700
232	817	2691
233	819	2682
234	820	2671
235	822	2661
236	823	2651
237	826	2644
238	827	2636
