iter	Passed	Remaining
0	5	503
1	9	468
2	13	445
3	17	430
4	22	434
5	27	424
6	32	428
7	37	429
8	41	422
9	46	417
10	50	412
11	55	403
12	58	393
13	63	388
14	67	380
15	69	365
16	72	353
17	75	343
18	77	329
19	79	316
20	80	304
21	82	293
22	84	281
23	85	271
24	86	260
25	88	251
26	89	242
27	90	233
28	92	225
29	93	218
30	94	210
31	95	203
32	97	197
33	98	190
34	99	184
35	100	178
36	101	173
37	102	168
38	104	162
39	105	158
40	106	153
41	107	148
42	108	143
43	109	139
44	110	135
45	111	131
46	113	127
47	114	124
48	115	120
49	116	116
50	117	113
51	119	109
52	120	106
53	121	103
54	122	100
55	123	97
56	124	94
57	125	91
58	127	88
59	128	85
60	130	83
61	131	80
62	133	78
63	134	75
64	135	73
65	136	70
66	138	67
67	139	65
68	140	63
69	141	60
70	143	58
71	144	56
72	145	53
73	146	51
74	147	49
75	149	47
76	150	44
77	151	42
78	152	40
79	153	38
80	154	36
81	156	34
82	157	32
83	158	30
84	159	28
85	160	26
86	161	24
87	163	22
88	164	20
89	165	18
90	166	16
91	167	14
92	169	12
93	170	10
94	171	9
95	172	7
96	173	5
97	174	3
98	176	1
99	177	0
